result_id,evidence_tier,dataset_id,model_id,aggregation,proteins,groups,labels,macro_pcc,pooled_or_micro_pcc,macro_spearman,macro_rmse,macro_mae,micro_rmse,source_id,notes
DEV_W3_MDVAL,development_validation,md_weak_validation,geodssop_w3,prediction_ensemble,153,,20753,0.8177,0.8286,0.8347,0.1072,0.0689,,CROSS_DATASET_20260810,"Used for early stopping; not an independent test"
DEV_W3_SVAL,development_validation,soppe_weak_validation,geodssop_w3,prediction_ensemble,297,,35330,0.9320,0.9118,0.8987,0.0463,0.0303,,CROSS_DATASET_20260810,"Used for early stopping; S-OPPE pseudo-label domain"
DEV_W3_MIXED450,development_validation,weak_validation_all,geodssop_w3,prediction_ensemble,450,372,56083,0.8931,0.8618,0.8769,0.0670,0.0434,,CROSS_DATASET_20260810,"Ordinary 450-protein macro average; equal-source average of source-specific macro PCC is 0.8748"
EXP_W3_NMR26,exploratory_experimental,nmr26,geodssop_w3,prediction_ensemble,26,22,2113,0.5381,0.5624,0.3989,0.1371,0.1014,,CROSS_DATASET_20260810,"Teacher-lineage-related exploratory set"
EXP_W3_NMR36,exploratory_descriptive,nmr36,geodssop_w3,prediction_ensemble,36,,2822,0.6226,0.6411,0.4683,0.1357,0.0986,,CROSS_DATASET_20260810,"Descriptive union; not an independent dataset"
HIST10_W3,historical_external_benchmark,nmr10,geodssop_w3,prediction_ensemble,10,8,709,0.842368,0.782651,0.648604,0.132007,0.091440,0.127665,EXT_METRICS_20260823,"Exact frozen external-evaluation value; reproduces earlier 0.8424"
HIST10_MDONLY,historical_external_benchmark,nmr10,geodssop_md_only,prediction_ensemble,10,8,709,0.795843,0.700299,0.635540,0.180099,0.142276,0.195889,EXT_METRICS_20260823,"Training-source variant"
HIST10_C0,historical_external_benchmark,nmr10,geodssop_c0_blend,fixed_logit_blend,10,8,709,0.814806,0.730618,0.641576,0.151287,0.119166,0.163813,EXT_METRICS_20260823,"Pre-frozen blend; not selected on NMR10"
HIST10_CLEAN24,historical_external_benchmark,nmr10,nmr_clean24_c2,single_checkpoint,10,8,709,0.683573,0.673334,0.509104,0.147065,0.101213,0.143621,EXT_METRICS_20260823,"Rejected for unknown-protein deployment"
HIST10_FULL26,historical_external_benchmark,nmr10,nmr_full26_c2,single_checkpoint,10,8,709,0.704209,0.711406,0.519723,0.141077,0.094204,0.137996,EXT_METRICS_20260823,"Rejected for unknown-protein deployment"
MDTEST_W3,independent_confirmation,md_test136,geodssop_w3,prediction_ensemble,136,104,18939,0.824973,0.830653,0.854248,0.111519,0.071733,0.113910,EXT_METRICS_20260823,"Primary independent test result for the manuscript main model"
MDTEST_MDONLY,independent_confirmation,md_test136,geodssop_md_only,prediction_ensemble,136,104,18939,0.839819,0.866586,0.858288,0.100255,0.062548,0.102503,EXT_METRICS_20260823,"Training-source variant; frozen before test labels opened"
MDTEST_C0,independent_confirmation,md_test136,geodssop_c0_blend,fixed_logit_blend,136,104,18939,0.842113,0.867210,0.863138,0.099857,0.062292,0.102328,EXT_METRICS_20260823,"Best frozen point estimate on MD-test; secondary deployment variant"
MDTEST_CLEAN24,independent_confirmation,md_test136,nmr_clean24_c2,single_checkpoint,136,104,18939,0.707324,0.748846,0.626116,0.142323,0.097266,0.143391,EXT_METRICS_20260823,"Rejected for unknown-protein deployment"
MDTEST_FULL26,independent_confirmation,md_test136,nmr_full26_c2,single_checkpoint,136,104,18939,0.707428,0.745725,0.612932,0.140888,0.097420,0.141716,EXT_METRICS_20260823,"Rejected for unknown-protein deployment"
HIST10_B0,historical_external_benchmark,nmr10,b0_w0,prediction_ensemble,10,8,709,0.699628,0.692207,0.469919,0.142634,0.098884,0.143113,H1_NMR10_20260809,"Historical lightweight sequence baseline"
HIST10_SOPPCL,historical_external_benchmark,nmr10,soppcl_archived,archived_prediction,10,8,709,0.845475,0.821048,0.588893,0.132210,0.086087,0.130813,H1_NMR10_20260809,"Archived SOPPCL reference on exactly the same 709 labels"
