result_id,training_source,dataset_id,aggregation,proteins,groups,labels,macro_pcc,macro_rmse,source_id,interpretation
SRC_MD_MDVAL,MD-only,md_weak_validation,prediction_ensemble,153,,20753,0.8334,0.1034,CROSS_DATASET_20260810,"Same-domain specialization"
SRC_MD_SVAL,MD-only,soppe_weak_validation,prediction_ensemble,297,,35330,0.8597,0.1743,CROSS_DATASET_20260810,"Cross-label-domain transfer"
SRC_MD_MIXED,MD-only,weak_validation_all,prediction_ensemble,450,372,56083,0.8508,0.1502,CROSS_DATASET_20260810,"Ordinary protein macro across mixed validation"
SRC_MD_NMR26,MD-only,nmr26,prediction_ensemble,26,22,2113,0.5568,0.1704,CROSS_DATASET_20260810,"Exploratory experimental result"
SRC_MD_NMR10,MD-only,nmr10,prediction_ensemble,10,8,709,0.7958,0.1801,CROSS_DATASET_20260810,"Historical benchmark"
SRC_MD_NMR36,MD-only,nmr36,prediction_ensemble,36,,2822,0.6232,0.1731,CROSS_DATASET_20260810,"Descriptive union"
SRC_S_MDVAL,S-OPPE-only,md_weak_validation,prediction_ensemble,153,,20753,0.7218,0.1634,CROSS_DATASET_20260810,"Cross-label-domain transfer"
SRC_S_SVAL,S-OPPE-only,soppe_weak_validation,prediction_ensemble,297,,35330,0.9414,0.0418,CROSS_DATASET_20260810,"Same-domain specialization"
SRC_S_MIXED,S-OPPE-only,weak_validation_all,prediction_ensemble,450,372,56083,0.8667,0.0832,CROSS_DATASET_20260810,"Ordinary protein macro across mixed validation"
SRC_S_NMR26,S-OPPE-only,nmr26,prediction_ensemble,26,22,2113,0.5430,0.1368,CROSS_DATASET_20260810,"Exploratory experimental result"
SRC_S_NMR10,S-OPPE-only,nmr10,prediction_ensemble,10,8,709,0.8419,0.1339,CROSS_DATASET_20260810,"Historical benchmark"
SRC_S_NMR36,S-OPPE-only,nmr36,prediction_ensemble,36,,2822,0.6260,0.1360,CROSS_DATASET_20260810,"Descriptive union"
SRC_W3_MDVAL,MD+S-OPPE_W3,md_weak_validation,prediction_ensemble,153,,20753,0.8177,0.1072,CROSS_DATASET_20260810,"Balanced joint model"
SRC_W3_SVAL,MD+S-OPPE_W3,soppe_weak_validation,prediction_ensemble,297,,35330,0.9320,0.0463,CROSS_DATASET_20260810,"Balanced joint model"
SRC_W3_MIXED,MD+S-OPPE_W3,weak_validation_all,prediction_ensemble,450,372,56083,0.8931,0.0670,CROSS_DATASET_20260810,"Best mixed-validation balance"
SRC_W3_NMR26,MD+S-OPPE_W3,nmr26,prediction_ensemble,26,22,2113,0.5381,0.1371,CROSS_DATASET_20260810,"Exploratory experimental result"
SRC_W3_NMR10,MD+S-OPPE_W3,nmr10,prediction_ensemble,10,8,709,0.8424,0.1320,CROSS_DATASET_20260810,"Historical benchmark"
SRC_W3_NMR36,MD+S-OPPE_W3,nmr36,prediction_ensemble,36,,2822,0.6226,0.1357,CROSS_DATASET_20260810,"Descriptive union"
