record_id,source,protein_id,pdb_id,chain_id,sequence_sha256,sequence_length,joint_homology_group,canonical_dataset_role,experimental_cv_fold,label_availability
EXPERIMENTAL__1bve,experimental_nmr,1bve,1bve,,db7645e814010ebcd4c1bf2dedd8ae6f493fbb6138befc4a04b513a2939bf822,99,JHG30_ec47b2ad4529,experimental_grouped_cv,4,included_in_development_residue_labels
EXPERIMENTAL__1d2b,experimental_nmr,1d2b,1d2b,,ee4dbb6360419a5a2f39d98a758100fb17a5aa987b1e9f266fc37399faef47bd,126,JHG30_f5f59a868b81,experimental_grouped_cv,1,included_in_development_residue_labels
EXPERIMENTAL__1d3z,experimental_nmr,1d3z,1d3z,,233b4b0b8c4616095bc3249f9375fc345d32af7deaef07117d0383c51d6f19aa,76,JHG30_bf545f42956a,experimental_grouped_cv,2,included_in_development_residue_labels
EXPERIMENTAL__1e8l,experimental_nmr,1e8l,1e8l,,eaf1f8d7f5bf78bbefe1100d912a09893361c57dda057f634adb5c5af6dfe79c,129,JHG30_3bb850007689,experimental_grouped_cv,4,included_in_development_residue_labels
EXPERIMENTAL__1f8p,experimental_nmr,1f8p,1f8p,,7739dc59c133e8e4e233b833d8a461b8156ca1fd598d3faf539bf809058136a1,36,JHG30_7cf1e119d93f,experimental_grouped_cv,2,included_in_development_residue_labels
EXPERIMENTAL__1icy,experimental_nmr,1icy,1icy,,74c1e72a869e75ba6f3024d776a66f639cb9872114b3ec96017fe121724565d8,36,JHG30_7cf1e119d93f,experimental_grouped_cv,2,included_in_development_residue_labels
EXPERIMENTAL__1jbh,experimental_nmr,1jbh,1jbh,,03aea93694fc35f3d36fb2c1db4ca22641adcabfce568811a998d85e02d77857,135,JHG30_666768ad6948,experimental_grouped_cv,3,included_in_development_residue_labels
EXPERIMENTAL__1ljv,experimental_nmr,1ljv,1ljv,,a330836d2034d0511a50c54cd99249f2f6cffb16a9f58e553575295e7ca8b513,36,JHG30_7cf1e119d93f,experimental_grouped_cv,2,included_in_development_residue_labels
EXPERIMENTAL__1mzk,experimental_nmr,1mzk,1mzk,,28af21dae359c873076aa085989d4f16b09936febf201fb038f3d97fad33c422,122,JHG30_54bf8f8bbbc8,experimental_grouped_cv,2,included_in_development_residue_labels
EXPERIMENTAL__1r36,experimental_nmr,1r36,1r36,,1db82d9948defbd6adbd874b17c8172ff36c14289af2adcc11f47e550102a12e,140,JHG30_b9c35c1e9cb1,experimental_grouped_cv,3,included_in_development_residue_labels
EXPERIMENTAL__2ase,experimental_nmr,2ase,2ase,,ed99abdd4ef1398a1641829024749490298dfbf1b41edb39654f4991f035a7d0,178,JHG30_975cbf32a1c4,experimental_grouped_cv,3,included_in_development_residue_labels
EXPERIMENTAL__2bbn,experimental_nmr,2bbn,2bbn,,4239a4a97be30995f3117c9625f03fe4f0df4b2285543edbe76a64c69c51f004,148,JHG30_777fddc4a0b0,experimental_grouped_cv,1,included_in_development_residue_labels
EXPERIMENTAL__2hlw,experimental_nmr,2hlw,2hlw,,db3b0866ddce10f8aae673890399d7df44e0f0f724a5a2777a811c167c6a5bb6,170,JHG30_70e87deaf84f,experimental_grouped_cv,4,included_in_development_residue_labels
EXPERIMENTAL__2jnb,experimental_nmr,2jnb,2jnb,,8294e030ec4a9b6df8f57fd523ccdbca041d9f6887af8e73ac1ede73f9025700,128,JHG30_ccae0523197d,experimental_grouped_cv,4,included_in_development_residue_labels
